date,rating,review_text,thumbs_up_count,title
2025-05-30 13:31:52,1,very bad experience. it needs to fix. Such a reputed Application with low quality and experience. Please make it a smooth experience.,2,
2025-03-28 19:45:37,1,This needs a lot of improvement starting from a modern UI to be able to check everything based on one's profile. A lot needs to be improved.,2,
2025-03-17 03:23:15,1,not working properly as well it's not showing our local passport seva office,2,
2024-11-24 01:56:35,1,When i give the print that time it close the app. It is not working properly. Waste of time on this app.,2,
2024-09-26 19:56:46,1,"Worst App, Govt App and work like pathetic 2nd class app.. no print option once clcked on print, everything went blank on app.. again remove the app and logged back in multiple times..",2,
2024-08-24 07:11:58,1,"Not working properly and no any OTP s receiving in message and emails both, worst app... no any previous file is opening even after putting Passport number...",2,
2024-07-13 14:28:10,5,i am successfully apply my passport,2,
2024-07-07 07:04:33,1,The Worst App...The Developers don't know their job... The Old one is the best one...This PSP V2.O is a very big Failure... Common People are suffering because of Big People Mistakes... Worst App... Worst Developers... SERVICE ALSO BECOME THE WORST ... BETTER YOU RUN THE OLD VERSION ONLY... WITHOUT CHECKING THEY LAUNCHED DIRECTLY... PEOPLE ARE SUFFERING...TCS SHOWING ITS STANDARD OF SERVICE...THE WORST...,2,
2024-07-01 11:17:57,1,Unable to schedule appointment for inquiry at rpo as after submitting all documents they are closing my application..poor service,2,
2024-06-29 14:43:07,1,app is not working properly while use and very poor performance,2,
2024-06-23 13:17:15,1,"Why ""Track application"" is not working for submitted applications??",2,
2024-06-14 15:43:21,5,😃Very Nice😃,2,
2024-05-17 15:02:11,1,Worst service. My passport on hold since 45 days. All are deaf ears officials. No response from anyone.,2,
2024-05-16 06:16:47,1,Seriously Worst Government passport seva,2,
2026-02-26 13:46:25,5,"The mPassport Seva app is the official mobile application from India's Ministry of External Affairs, allowing users to apply for, renew, and track passports conveniently. It offers services like document access, fee payment, appointment scheduling, and fee calculation directly on smartphones🌟",1,
2026-02-25 11:38:22,1,Really the worst App i have ever seen.. Literally they take 20 minutes to send just one OTP !!! Government.. please update this app 🙏🏻🙄,1,
2026-02-15 18:23:10,1,So many bugs... I can't file a new application.,1,
2026-02-14 04:59:15,5,nice,1,
2026-02-02 14:00:49,1,Yeah. Can confirm. This app is really bad. I can't even login with a valid otp or a password!,1,
2026-01-18 06:20:26,1,This the most third rated app. Tried so many passwords but none was accepted. Always displays message to try again after sometime. I sure it is not going to improve.,1,
2025-12-30 05:52:42,1,"mostly server issues, login not possible ..if possible then not worth to checkout data ....as in my case ...want to print application receipt ...but after taking printout ...almost all the details printed with NULL tagline without any information.",1,
2025-12-29 09:14:04,4,My mother applied for a passport and police verification was initiated. The police officer asked whether we own a house and threatened to cancel the passport because we live in a rented house. We are legally residing at this address with valid proof. I have already received my passport at the same rented address earlier. The officer also demanded money.,1,
2025-12-29 05:05:34,1,"I will apply passport at tatkal scheme,after 10 days complete still now can't give passport.it is very very worst passport seva. service,don't apply tatkal scheme.money waste,worst service .this department waste.",1,
2025-12-11 19:43:31,1,tatkal process is not tatkal at all. the app also does not display documents details correctly delaying the overall process also what's the point of grievance portal if no one can submit grievance there,1,
